name,category,image_url,product_url,colors,season,occasion,style_tags,occasion_tags,source,source_item_id,brand
Claudine,top,catalog/images/0778064006.jpg,,White,,,casual|classic|basic,everyday|casual,h_and_m,0778064006,H&M
Chinchilla,top,catalog/images/0636935002.jpg,,Red,,,cozy|layering,,h_and_m,0636935002,H&M
Cotton Tail Jacket,top,catalog/images/0837743001.jpg,,Light Beige,,,classic|minimal|casual|layering,,h_and_m,0837743001,H&M
SC HOSHI top,top,catalog/images/0625882003.jpg,,Black,,,classic|minimal,,h_and_m,0625882003,H&M
Premium CLARA sh/slv turtle,top,catalog/images/0784021004.jpg,,Grey,,,classic|minimal|cozy|layering,,h_and_m,0784021004,H&M
Joe top,top,catalog/images/0694153007.jpg,,White,,,modern|bold|dressy|feminine,,h_and_m,0694153007,H&M
Sandy,top,catalog/images/0651464005.jpg,,Dark Blue,,,classic|minimal|feminine|work,everyday|casual,h_and_m,0651464005,H&M
ESSENTIAL TANKTOP LACE,top,catalog/images/0572797046.jpg,,Light Yellow,,,classic|minimal|dressy|feminine,,h_and_m,0572797046,H&M
D1 PE EMMA CAMISOLE,top,catalog/images/0776744004.jpg,,Black,,,classic|minimal,,h_and_m,0776744004,H&M
Minja 2.0,top,catalog/images/0865929016.jpg,,Black,,,bold|statement|dressy|feminine,everyday|casual,h_and_m,0865929016,H&M
Fernanda stripe jumper,top,catalog/images/0610474003.jpg,,Light Beige,,,casual|classic|cozy|layering,trendy|going_out,h_and_m,0610474003,H&M
Klara Top,top,catalog/images/0641705004.jpg,,Black,,,dressy|feminine,,h_and_m,0641705004,H&M
IZZY cinced loose tee+,top,catalog/images/0768284002.jpg,,Black,,,casual|dressy|feminine,,h_and_m,0768284002,H&M
Papaya,top,catalog/images/0639672003.jpg,,Black,,,classic|minimal|feminine|work,everyday|casual,h_and_m,0639672003,H&M
Mentos t-shirt,top,catalog/images/0712296001.jpg,,White,,,statement|trendy|dressy|feminine,everyday|casual,h_and_m,0712296001,H&M
Django,top,catalog/images/0707717005.jpg,,Light Green,,,bold|statement|feminine|work,everyday|casual,h_and_m,0707717005,H&M
MC Blanche fancy top,top,catalog/images/0823195001.jpg,,Light Orange,,,dressy|feminine,,h_and_m,0823195001,H&M
Glazing zip hoodie,top,catalog/images/0762930001.jpg,,Dark Pink,,,casual|basic,everyday|casual,h_and_m,0762930001,H&M
Lucca knitted top,top,catalog/images/0870539003.jpg,,Light Yellow,,,classic|minimal|cozy|layering,trendy|going_out,h_and_m,0870539003,H&M
Dreams,top,catalog/images/0728445004.jpg,,Light Pink,,,classic|minimal|feminine|work,,h_and_m,0728445004,H&M
Speed Wing jacket,top,catalog/images/0608714003.jpg,,Light Beige,,,classic|minimal,,h_and_m,0608714003,H&M
Julie,top,catalog/images/0789303001.jpg,,Beige,,,bold|statement|feminine|work,everyday|casual,h_and_m,0789303001,H&M
Jupiter l/s,top,catalog/images/0703223002.jpg,,Grey,,,casual|dressy|feminine,,h_and_m,0703223002,H&M
