Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
emsy-dress,Emsy Dress,<p>Emsy Dress by H&M.</p>,H&M,,Tops,"top,light beige,bold,statement,dressy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0707375001.jpg,1,Emsy Dress,active
taco-top,Taco Top,<p>Taco Top by H&M.</p>,H&M,,Tops,"top,dark blue,classic,minimal,dressy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0653909001.jpg,1,Taco Top,active
pq-lessie-cotton-shirt,PQ LESSIE COTTON SHIRT,<p>PQ LESSIE COTTON SHIRT by H&M.</p>,H&M,,Tops,"top,off white,classic,minimal",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0832080001.jpg,1,PQ LESSIE COTTON SHIRT,active
offy-sweater,Offy sweater,<p>Offy sweater by H&M.</p>,H&M,,Tops,"top,light pink,classic,minimal,dressy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0595779003.jpg,1,Offy sweater,active
kagan-top,Kagan top,<p>Kagan top by H&M.</p>,H&M,,Tops,"top,white,classic,minimal,feminine",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0865873001.jpg,1,Kagan top,active
blossom-tee,Blossom tee,<p>Blossom tee by H&M.</p>,H&M,,Tops,"top,black,classic,minimal,basic",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0828047001.jpg,1,Blossom tee,active
jupiter-v-neck,Jupiter v-neck,<p>Jupiter v-neck by H&M.</p>,H&M,,Tops,"top,light pink,classic,minimal,cozy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0519847024.jpg,1,Jupiter v-neck,active
calexico,CALEXICO,<p>CALEXICO by H&M.</p>,H&M,,Tops,"top,dark blue,classic,minimal,dressy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0610700003.jpg,1,CALEXICO,active
w-yoda-knit-ol-offer,W YODA KNIT OL OFFER,<p>W YODA KNIT OL OFFER by H&M.</p>,H&M,,Tops,"top,dark grey,casual",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0685687001.jpg,1,W YODA KNIT OL OFFER,active
chestnut-strap-top,Chestnut strap top,<p>Chestnut strap top by H&M.</p>,H&M,,Tops,"top,light beige,bold,statement,dressy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0749699029.jpg,1,Chestnut strap top,active
jennifer-tee,Jennifer tee,<p>Jennifer tee by H&M.</p>,H&M,,Tops,"top,grey,casual,graphic,dressy",TRUE,Title,Default Title,,deny,manual,24.99,TRUE,TRUE,https://res.cloudinary.com/dfvwi4mqd/image/upload/0733029019.jpg,1,Jennifer tee,active
